VDFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;179922;6852;194689;622033;15346;
2 arg;173;50586;24792;280978;5098;
3 its;179220;126967;5246556;2278769;578517;
4 man;169442;121715;1985223;3331331;3030144;
