VDFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;29396;3324;15487;57662;37,7;
2 arg;234;29060;3611;21740;6333;
3 its;29422;8213;82687;46375;21888;
4 man;14135;7454;38767;82185;101616;
