VDFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;36777;5144;29483;216405;1085;
2 arg;237;40003;7905;200999;15691;
3 its;75748;35765;787283;393937;102117;
4 man;55457;74784;365054;807426;672604;
