VDFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;56097;4577;34308;275574;385;
2 arg;31,1;20265;4553;42379;6633;
3 its;21199;10623;223938;108840;85391;
4 man;90665;11816;124110;356260;515686;
