VDFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;35284;962;14640;53160;2507;
2 arg;230;8643;6714;35788;1124;
3 its;46038;21312;579587;203336;77174;
4 man;22888;8849;148414;253820;267796;
