VDFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;318008;47253;238100;1229668;3009;
2 arg;895;201871;128304;973262;49284;
3 its;313045;143836;4585028;3731552;913708;
4 man;320768;313883;2436538;12651824;5688944;
