VDFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;72040;10085;155939;331604;2724;
2 arg;915;47567;22544;232172;7054;
3 its;134300;68902;6102051;2467439;935524;
4 man;96848;87296;1711091;3590720;2259955;
