VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;36355;2227;567;143;109;399;649;283;836;
2 arg;604;1307;3077;579;13,9;211;113;173;97,6;
3 its;445;180;14257;7195;546;682;7004;817;960;
4 man;39755;13818;66760;47230;285;464;5060;662;1651;
