VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;2571;1616;3772;2838;1011;18988;179970;52814;83435;
2 arg;198;173;4176;7082;852;2596;45949;12650;376;
3 its;6242;4734;256029;144195;9727;14730;62206;12271;22388;
4 man;21264;3641;525785;1144293;16256;19913;1031808;78190;31244;
