VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;79045;20974;23712;134665;152942;121031;27883;81865;522222;
2 arg;2663;2846;8350;49614;21725;12072;60191;35949;1100;
3 its;8755;5835;353931;236974;18082;17960;168798;19767;28282;
4 man;39203;13303;669600;2533326;63431;42621;394734;71855;154823;
