VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1122;619;2498;442;119;21278;1626;1237;14368;
2 arg;2638;2379;9749;1689;1028;5393;5257;3716;289;
3 its;1284;753;50572;24445;1749;2041;23722;2350;3468;
4 man;6571;3662;205502;211119;3732;56666;38654;14252;27685;
