VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1568;9015;5300;1959;425;3021;559;2862;18774;
2 arg;2327;2587;7452;4663;2701;4045;3213;3627;3307;
3 its;2495;1125;58252;37168;3237;3879;33857;5110;4134;
4 man;10397;4435;215344;277271;8510;25571;71056;12621;65079;
