VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0,000;4514;876;376;26,3;299;759;41,2;293;
2 arg;0,000;1158;5475;1761;165;1322;609;2625;719;
3 its;0,000;639;46505;17993;1189;1811;15554;1579;2879;
4 man;0,000;28818;143530;98168;844;1052;18670;6091;1866;
