VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;243;66,0;228;4296;927;1723;890;85,7;8855;
2 arg;1,28;8,42;298;850;1095;138;630;262;38,2;
3 its;565;479;24435;15033;2532;1506;13260;1215;2126;
4 man;191;111;55961;156105;16837;1681;34122;2724;2703;
