VIWS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;164454;59334;163031;7261;5813;135969;31556;27922;81729;
2 arg;2926;5069;128742;11217;2457;14436;17360;17620;1992;
3 its;21107;9761;845707;337814;18718;29782;283583;29731;39655;
4 man;105045;37766;3760726;905926;16753;87243;352508;57247;67412;
