VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;13072;128;518;29138;213;
2 arg;18,0;3639;2257;11884;1698;
3 its;4114;941;37795;19582;8282;
4 man;69330;6394;66305;209082;84038;
