VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;183373;316;9926;968137;595;
2 arg;85,5;14460;13709;118596;3590;
3 its;15535;4973;364287;215591;35652;
4 man;54602;37432;453845;2325097;756958;
