VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;88627;1510;39959;506938;35,7;
2 arg;164;10686;14841;108203;2741;
3 its;17698;6118;890899;376119;76123;
4 man;55392;37243;788147;2657121;662665;
