VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;28932;191;6143;308506;229;
2 arg;29,7;4880;6867;35527;457;
3 its;8230;2082;245884;74369;10661;
4 man;44361;21409;406123;1075094;538056;
