VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;11301;51,0;753;34485;439;
2 arg;5,03;2071;580;10250;541;
3 its;11128;684;53130;17622;1597;
4 man;14171;12886;61472;204645;130025;
