VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;4618;130;1173;35098;54,8;
2 arg;6,01;1811;886;19061;293;
3 its;7577;2895;38148;22650;3045;
4 man;22528;20786;99597;188650;109345;
