VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;1420;31,4;501;4901;0,137;
2 arg;8,24;3042;1639;6088;271;
3 its;7264;474;20883;11599;2706;
4 man;8871;2369;39981;68859;95066;
