VIFM;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;12509;227;2071;22305;0,178;
2 arg;7,64;1681;236;1611;187;
3 its;3187;688;13468;4448;1046;
4 man;8326;7175;23721;51143;41628;
