i;r;s;value
man;noa;row;0.08803716540767194
man;noa;rus;0.09275764746418853
man;noa;soa;0.23677627501152237
man;oce;afr;0.007024864322404299
man;oce;asia;0.02803777106305689
man;oce;cis;0.0010462039896586759
man;oce;eur;0.009693883396973352
man;oce;noa;0.016244689956573015
man;oce;oce;0.13044394891546726
man;oce;row;0.007445929412589169
man;oce;rus;0.0008766018251559389
man;oce;soa;0.008277045819360786
man;row;afr;0.10871373677886202
man;row;asia;0.049443849789032095
man;row;cis;0.04179786131761345
man;row;eur;0.0369852104990275
man;row;noa;0.03397441712782364
man;row;oce;0.06636934928035679
man;row;row;0.17975933588149584
man;row;rus;0.045507288969511485
man;row;soa;0.038108103812717536
man;rus;afr;0.004476370310704995
man;rus;asia;0.01767604790328376
man;rus;cis;0.2712686229339986
man;rus;eur;0.0247524699297334
man;rus;noa;0.009004393974653788
man;rus;oce;0.006527468072167039
man;rus;row;0.005235510367361717
man;rus;soa;0.018607460148440107
man;soa;afr;0.01825760476775253
man;soa;asia;0.0308586992611954
man;soa;cis;0.011266812196324203
man;soa;eur;0.01731510975396664
man;soa;noa;0.06243171392621751
man;soa;oce;0.011635921346036894
man;soa;row;0.016083207531192606
man;soa;rus;0.020420262169817537
man;soa;soa;0.26305684906470017
