i;r;s;tx;trm;tm
arg;Unnamed: 10;afr;0.0;0.0;0.0
arg;Unnamed: 10;asia;0.0;0.0;0.0
arg;Unnamed: 10;cis;0.0;0.0;0.0
arg;Unnamed: 10;eur;0.0;0.0;0.0
arg;Unnamed: 10;noa;0.0;0.0;0.0
arg;Unnamed: 10;oce;0.0;0.0;0.0
arg;Unnamed: 10;row;0.0;0.0;0.0
arg;Unnamed: 10;rus;0.0;0.0;0.0
arg;Unnamed: 10;soa;0.0;0.0;0.0
arg;afr;Unnamed: 10;0.0;0.0;0.0
arg;afr;afr;0.0;0.17648342059336825;0.034674578156870015
arg;afr;asia;0.0;0.43746071653048396;0.06776010603048377
arg;afr;cis;0.0;0.00658513640639699;0.009478672985781991
arg;afr;eur;0.0;0.15648496240601503;0.022097533942920477
arg;afr;noa;0.001484938481120068;0.02478288498199534;0.0065485362095531584
arg;afr;oce;0.0;0.007464324917672887;0.0
arg;afr;row;0.0;1.626923076923077;0.0207663782447466
arg;afr;rus;0.0;0.06797776827704147;0.04311649016641452
arg;afr;soa;0.0021039975954313195;0.0021685662867426516;0.06324110671936758
arg;asia;Unnamed: 10;0.0;0.0;0.0
arg;asia;afr;0.0009678838539375275;0.00855309423347398;0.09236234458259325
arg;asia;asia;0.0011543162373817391;0.12162864829425994;0.08529850445438787
arg;asia;cis;0.00038595137012736397;0.024151234567901234;0.055267702936096716
arg;asia;eur;-0.0007826767545003914;0.07023498694516972;0.02540786306499064
arg;asia;noa;0.012524792477778594;0.0070918126745746725;0.00931940129906806
arg;asia;oce;0.002682234143262859;0.003042223970626803;0.0058823529411764705
arg;asia;row;0.0;0.39330143540669854;0.046536564443491316
arg;asia;rus;0.04299226139294927;0.07378400659521847;0.04145371947756956
arg;asia;soa;0.016676427976942756;0.0011733672912497726;0.09970674486803519
arg;cis;Unnamed: 10;0.0;0.0;0.0
arg;cis;afr;0.0;1.284263959390863;0.044136191677175286
arg;cis;asia;0.0;0.49224806201550386;0.5214335910049192
arg;cis;cis;0.0;0.16592328278322926;0.0
arg;cis;eur;-0.000777000777000777;0.17534992223950233;0.020911422371276387
arg;cis;noa;0.0044843049327353305;0.07924107142857142;0.023121387283236993
arg;cis;oce;0.0;0.0021850899742930593;0.0
arg;cis;row;0.0;2.413793103448276;0.14379590258987243
arg;cis;rus;0.007619047619047619;0.31947069943289225;0.0
arg;cis;soa;0.0;0.0003333333333333333;0.00671140939597313
arg;eur;Unnamed: 10;0.0;0.0;0.0
arg;eur;afr;0.0008401435881768884;0.0943986568986569;0.06267309467637706
arg;eur;asia;0.00028100412139378045;0.06461279145987452;0.1192814371257485
arg;eur;cis;0.0004332755632582322;0.10935469900389778;0.06629834254143646
arg;eur;eur;-8.558932529934867e-05;0.10197985054824656;0.006353792857031893
arg;eur;noa;0.004696893787575151;0.021068378732157327;0.010775862068965518
arg;eur;oce;0.0008795074758135445;0.007908611599297012;0.003355704697986577
arg;eur;row;0.0005512679162072767;0.5146005509641873;0.13768115942028986
arg;eur;rus;0.015034695451040863;0.34333459931636917;0.06611872146118722
arg;eur;soa;0.0057929487978074;0.00393881216325014;0.07152682255845942
arg;noa;Unnamed: 10;0.0;0.0;0.0
arg;noa;afr;0.0004037141703673799;0.21670702179176757;0.07837169488301313
arg;noa;asia;0.0005982650314089142;0.7559043348281016;0.13483743416789887
arg;noa;cis;0.006060606060606061;0.1427710843373494;0.035398230088495575
arg;noa;eur;-0.0005208333333333333;0.343147472642001;0.033640552995391704
arg;noa;noa;0.0051289096487612765;0.04672194633012894;0.0037650438529674203
arg;noa;oce;0.0012853470437017994;0.0754813863928113;0.0015873015873015873
arg;noa;row;0.0;0.7943661971830986;0.03890445066915655
arg;noa;rus;0.005649717514124294;0.500561797752809;0.019704433497536946
arg;noa;soa;0.0014079549454417458;0.060984182776801406;0.08701413427561837
arg;oce;Unnamed: 10;0.0;0.0;0.0
arg;oce;afr;0.007633587786259542;0.8787878787878788;0.08073929961089495
