VIMS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;79563;21005;25113;135161;153305;121502;27978;81980;526098;
2 arg;3569;4330;9346;53846;22793;12890;68307;41433;1190;
3 its;8755;5835;353931;236974;18082;17960;168798;19767;28282;
4 man;40397;13729;708620;2613269;67051;43929;412932;75291;160804;
