VIMS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0,000;4514;887;383;27,3;305;760;41,4;293;
2 arg;0,000;1158;5837;1834;168;1379;621;2685;782;
3 its;0,000;639;46505;17993;1189;1811;15554;1579;2879;
4 man;0,000;28819;155070;106168;909;1104;20395;7121;1963;
