VIMS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;243;66,0;229;4296;928;1724;892;85,7;8855;
2 arg;1,28;8,42;299;855;1106;138;631;262;38,2;
3 its;565;479;24435;15033;2532;1506;13260;1215;2126;
4 man;194;112;58418;161359;17155;1791;34621;2770;2752;
