VIMS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;2571;1635;3774;2839;1011;18994;179982;52952;83435;
2 arg;228;177;4221;7148;857;2613;46122;12757;379;
3 its;6242;4734;256029;144195;9727;14730;62206;12271;22388;
4 man;21403;3686;533395;1175454;16483;20247;1035753;79542;31374;
