VIMS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1140;621;2510;460;120;21368;1630;1240;14414;
2 arg;2817;2484;10360;1845;1111;5580;5669;3847;303;
3 its;1284;753;50572;24445;1749;2041;23722;2350;3468;
4 man;6940;3848;217770;236044;3987;59162;42048;15438;28931;
