VIMS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1568;9248;5364;2004;444;3057;563;2965;18784;
2 arg;2619;2959;8478;4880;2894;4129;3338;3923;3343;
3 its;2495;1125;58252;37168;3237;3879;33857;5110;4134;
4 man;10727;4659;227915;299304;8920;26115;73362;13221;65541;
