VIMS;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;36355;2227;574;145;109;400;653;283;836;
2 arg;604;1307;3281;611;14,0;213;117;179;104;
3 its;445;180;14257;7195;546;682;7004;817;960;
4 man;39759;13823;70758;51005;309;477;5313;711;1752;
