VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;28950;194;6235;308690;231;
2 arg;29,8;4718;6910;35650;460;
3 its;8239;2051;246740;74563;10727;
4 man;45254;21168;419902;1088257;549520;
