VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;90042;1603;45105;515333;35,7;
2 arg;165;10431;15206;109136;2783;
3 its;17807;5999;911951;379281;80814;
4 man;56814;39621;924032;2706459;700884;
