VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;407;22,5;418;16144;9,99;
2 arg;1,85;419;495;1459;8,83;
3 its;2688;590;26829;4980;1263;
4 man;9591;4840;63190;61864;77124;
