VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;13255;141;544;29197;213;
2 arg;18,2;3680;2266;11921;1700;
3 its;4315;969;38174;19887;8429;
4 man;69372;6208;69041;212058;87234;
