VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;4642;130;1173;35160;57,1;
2 arg;6,27;1844;895;19104;295;
3 its;7683;2917;38717;22873;3128;
4 man;23216;21306;102041;191511;114403;
