VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;11560;54,8;837;35524;446;
2 arg;5,07;2032;589;10343;551;
3 its;11380;675;54778;18212;1653;
4 man;14807;13230;67207;214744;138856;
