VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;190499;341;10469;990340;638;
2 arg;91,8;14266;14284;126364;3822;
3 its;16113;4955;374999;222609;37434;
4 man;57676;36082;475934;2467393;809751;
