VIFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;12786;223;2203;22487;0,178;
2 arg;7,59;1665;239;1618;187;
3 its;3186;683;13587;4482;1065;
4 man;8418;6989;24146;51905;42838;
