;eng;arg;its;man;CGDS
eng;0.6076509754675351;0.15532983236067693;0.13387964988668924;0.5840485221373513;0.0008258402239539908
arg;0.003249753031979948;0.5076557947591679;0.029637316416063562;0.07572844383073185;0.0007916338241452456
its;0.9204330996065158;0.4194082588712463;0.9290804800596241;0.3555937669329325;0.1570318082648609
man;0.35265765067162885;0.6556353556911468;0.6827280880525348;0.7848272185418887;1.3622503258691003
CGDS;0.0;0.0;0.0;0.0;0.0
