;a_VA;a_INT;P_j_base
eng;0.4844889509939369;0.515511049006063;1.0768180351225247
arg;0.5007052497999214;0.49929475020007874;1.0380857000101698
its;0.5960622248278474;0.4039377751721525;1.0888725477133117
man;0.26958950236787194;0.7304104976321281;1.0658838924862455
CGDS;0.0;1.0;1.0497507652075477
