;eng;arg;its;man;CGDS
Land;0.0;-0.051743728695044136;0.0;0.0;0.0
UnSkLab;0.2613285487774347;0.2550684797015365;0.2613166411939225;0.26131048346967617;0.0
SkLab;0.26128124661833135;0.25595695618754805;0.26131400292474116;0.26130720966934834;0.0
Capital;0.0121527064590779;-0.2185059082715802;0.012155518470073519;0.012156251516834844;0.0
NatRes;0.012158434393379483;0.011834319526627219;0.0;0.0;0.0
