;eng;arg;its;man;CGDS
Land;0.0;0.252583009537266;0.0;0.0;0.0
UnSkLab;0.0842179983202786;0.44973066054397737;0.10752028148796161;0.29740809035722005;0.0
SkLab;0.06494688496016811;0.02872218297421406;0.24953298807881083;0.15378604684202582;0.0
Capital;0.5132567970734896;0.22046096785588132;0.6429467304332276;0.5488058628007542;0.0
NatRes;0.3375783196460637;0.04850317908866125;0.0;0.0;0.0
