VTWR;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;58,6;332;236;111;65,0;107;9,29;269;848;
2 arg;223;210;934;411;314;423;282;404;460;
3 its;0;0;0;0;0;0;0;0;0;
4 man;382;250;7467;10737;369;599;1917;552;3296;
