VTWR;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;0;412;30,6;11,8;0,253;13,4;2,52;0,568;1,70;
2 arg;0;169;904;179;63,4;159;89,1;306;148;
3 its;0;0;0;0;0;0;0;0;0;
4 man;0;1338;5140;3420;39,4;22,5;361;224;70,6;
