VTWR;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;78,9;44,7;137;142;64,6;714;11249;2242;3035;
2 arg;19,8;7,10;338;391;73,0;117;2051;1269;20,5;
3 its;0;0;0;0;0;0;0;0;0;
4 man;858;134;15556;38152;555;626;15121;3045;994;
