VTWR;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;3572;1083;1059;9626;13939;5580;2290;6581;19647;
2 arg;236;254;690;5380;2660;696;5057;2967;54,6;
3 its;0;0;0;0;0;0;0;0;0;
4 man;1516;517;18049;87030;2558;1153;12112;2804;6603;
