VTWR;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;7,05;1,28;8,49;166;48,5;69,0;32,5;3,67;331;
2 arg;0,009;0,017;18,0;58,0;125;6,80;58,8;18,8;2,02;
3 its;0;0;0;0;0;0;0;0;0;
4 man;7,90;4,75;1755;5916;721;53,2;1051;108;152;
