VTWR;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;6576;2295;8840;311;461;5326;1599;2095;2841;
2 arg;294;451;11914;538;181;1332;1317;1473;177;
3 its;0;0;0;0;0;0;0;0;0;
4 man;4341;1709;89121;29752;376;2770;9061;2297;2449;
