VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;35371;963;14650;53277;2507;
2 arg;230;8612;6758;35994;1126;
3 its;45425;21275;584597;203487;77986;
4 man;23478;8993;153583;255142;290373;
