VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;39027;6185;35020;228236;1112;
2 arg;239;39472;8036;207374;16542;
3 its;79521;35548;833155;407057;103867;
4 man;57264;75956;397730;852576;706360;
