VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;114282;3697;40913;274708;169;
2 arg;509;11330;9330;34908;165;
3 its;139448;9279;265901;163126;32976;
4 man;61409;15688;217158;388442;292808;
