VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;182130;7039;201638;628476;15349;
2 arg;174;49255;24877;281092;5145;
3 its;180251;123886;5314288;2292168;581966;
4 man;171614;121715;2057239;3367791;3058893;
