VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;56535;4729;34605;276201;388;
2 arg;31,4;20319;4613;42486;6628;
3 its;21269;10645;224601;109226;85415;
4 man;90718;11726;127540;359196;522924;
