VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;29703;3373;16121;58259;37,7;
2 arg;236;28537;3685;21894;6375;
3 its;29574;8080;83880;46676;22061;
4 man;14311;7413;40945;83902;104726;
