VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;73716;11637;189485;386082;2728;
2 arg;915;46559;22627;228948;6901;
3 its;134893;67353;6270184;2485031;984397;
4 man;99426;92865;1942154;3664908;2424096;
