VDFA;1 eng;2 arg;3 its;4 man;5 CGDS;
1 eng;332995;44412;244788;1276694;3013;
2 arg;891;193903;127528;967309;49593;
3 its;324036;140432;4710845;3885938;955681;
4 man;335482;313315;2541804;13018188;5877799;
