i;j;s;value
man;its;asia;0.10392240487286995
man;its;cis;0.7971278315348327
man;its;eur;0.32462017613368593
man;its;noa;0.3190330484321626
man;its;oce;0.8778868563394495
man;its;row;1.0022936572168892
man;its;rus;0.3517804407005634
man;its;soa;0.3797900133536508
man;man;afr;1.5138156586831697
man;man;asia;0.10980119492983699
man;man;cis;0.848714013009849
man;man;eur;0.4105981390368118
man;man;noa;0.4400333921834662
man;man;oce;0.6665713522276808
man;man;row;1.0223868670784588
man;man;rus;0.3360456551124306
man;man;soa;0.49384861568220706
