i;s;r;value
eng;row;rus;15204250.2498041
eng;row;soa;19472710.481367897
eng;rus;afr;10261157.741928434
eng;rus;asia;7.427886556674642e-09
eng;rus;cis;37354693197436.12
eng;rus;eur;1.0978229994245119e-05
eng;rus;noa;0.0023707261271791015
eng;rus;oce;1209756595.1212804
eng;rus;row;4614116044202551.0
eng;rus;rus;0.0
eng;rus;soa;4800852.906298968
eng;soa;afr;2915279.311370215
eng;soa;asia;1.2543222501221005e-10
eng;soa;cis;58920.41885847602
eng;soa;eur;4.807832999332265e-09
eng;soa;noa;0.0017405662767367752
eng;soa;oce;30939479.904477954
eng;soa;row;1.0144446439755542e+16
eng;soa;rus;2326139.1797100552
eng;soa;soa;128468872.78412023
its;afr;afr;0.006284455551045613
its;afr;asia;0.020437154861111768
its;afr;cis;0.010092713710932153
its;afr;eur;0.021770570200169065
its;afr;noa;0.04521585632485025
its;afr;oce;0.02097135121260732
its;afr;row;0.01076862846548474
its;afr;rus;0.0026760664328844396
its;afr;soa;0.003632347854227129
its;asia;afr;0.07526874862582558
its;asia;asia;0.26965892739738867
its;asia;cis;0.10647664978028862
its;asia;eur;0.24694121958229506
its;asia;noa;0.4426273185853212
its;asia;oce;0.20933753172584718
its;asia;row;0.1031833933501255
its;asia;rus;0.026587776547150593
its;asia;soa;0.041056742536771794
its;cis;afr;0.0023185668936488717
its;cis;asia;0.006639799477426904
its;cis;cis;0.002663766082064204
its;cis;eur;0.007135267467727158
its;cis;noa;0.014531694761835781
its;cis;oce;0.006670170804009898
its;cis;row;0.0031231521071591467
its;cis;rus;0.000944233269250777
its;cis;soa;0.0014669876421311498
its;eur;afr;0.15571655371263046
its;eur;asia;0.40274736398375
its;eur;cis;0.2109850723999409
its;eur;eur;0.6182097781302256
its;eur;noa;0.7859178872365977
its;eur;oce;0.340262262204555
its;eur;row;0.16171542804109745
its;eur;rus;0.06871919903991766
its;eur;soa;0.08805032732691964
its;noa;afr;0.07304255491519061
its;noa;asia;0.19207966961280315
its;noa;cis;0.10365009799320937
its;noa;eur;0.2072984893249125
its;noa;noa;0.19095027552909943
its;noa;oce;0.1846481521110047
its;noa;row;0.09399160968185533
its;noa;rus;0.022983731251841288
its;noa;soa;0.03607357733251598
its;oce;afr;0.0053853565697103275
its;oce;asia;0.020575981859611528
its;oce;cis;0.008080090448928087
its;oce;eur;0.013682812873774916
its;oce;noa;0.02985842732327348
its;oce;oce;0.035258606421196374
its;oce;row;0.008986349662999252
its;oce;rus;0.001756953610546438
its;oce;soa;0.0026476020060562187
its;row;afr;0.010678339956406756
its;row;asia;0.03218282927516498
its;row;cis;0.014206752437675758
its;row;eur;0.02898770939788141
its;row;noa;0.06872319018335013
its;row;oce;0.029604975217797584
its;row;row;0.011476542943107479
its;row;rus;0.004254221568345832
its;row;soa;0.00685134559934548
its;rus;afr;0.003953572232994889
its;rus;asia;0.009962544031683382
its;rus;cis;0.00658542170288095
its;rus;eur;0.015429166114262588
its;rus;noa;0.019160717934807555
its;rus;oce;0.007867738004729837
its;rus;row;0.006926457339877397
its;rus;rus;0.0
its;rus;soa;0.0022612682439480157
its;soa;afr;0.007235899336088776
its;soa;asia;0.02249338753561227
its;soa;cis;0.012090538272480307
its;soa;eur;0.021733289323122237
its;soa;noa;0.037667601694652914
its;soa;oce;0.016919118010171246
its;soa;row;0.014186050904518438
its;soa;rus;0.0023332462161924517
its;soa;soa;0.0026057266682053297
man;afr;afr;0.0007266383143398232
man;afr;asia;0.07578483685333237
man;afr;cis;0.00011074027323153955
man;afr;eur;0.025674255002464615
