i;j;s;value
eng;man;cis;1.6252017508101688
eng;man;eur;0.8847562227930601
eng;man;noa;1.2844226648544108
eng;man;oce;0.5064201275357745
eng;man;row;0.264183138854268
eng;man;rus;0.2569627278385986
eng;man;soa;1.3012163540728574
its;CGDS;afr;1.0702512567027629
its;CGDS;asia;1.0809428815644992
its;CGDS;cis;1.0663303090537286
its;CGDS;eur;1.18494225287258
its;CGDS;noa;1.049614491713177
its;CGDS;oce;1.0312527663108517
its;CGDS;row;1.1237571867252052
its;CGDS;rus;1.0432919413172483
its;CGDS;soa;1.011159251897113
its;arg;afr;1.0713855833865453
its;arg;asia;1.0729716654762984
its;arg;cis;1.1155381256805132
its;arg;eur;1.200208435840303
its;arg;noa;1.0445854502494742
its;arg;oce;1.0533981213230037
its;arg;row;1.114281746550514
its;arg;rus;1.0253728663569428
its;arg;soa;1.01331426113962
its;eng;afr;1.1243382749347024
its;eng;asia;1.1025234377471362
its;eng;cis;1.1466980846884085
its;eng;eur;1.2920869034094848
its;eng;noa;1.122077963726376
its;eng;oce;1.1132347904876216
its;eng;row;1.2497850631805705
its;eng;rus;1.0263314975585986
its;eng;soa;1.1003496367980394
its;its;afr;1.136027968318754
its;its;asia;1.1629474508325968
its;its;cis;1.2183185011913669
its;its;eur;1.3199795387830626
its;its;noa;1.1239758969343527
its;its;oce;1.0880590265375003
its;its;row;1.2106460123872758
its;its;rus;1.0408081372450002
its;its;soa;1.046112000485047
its;man;afr;1.091274914394204
its;man;asia;1.1179090227656148
its;man;cis;1.131010921887679
its;man;eur;1.3347099279216623
its;man;noa;1.0872201581040917
its;man;oce;1.0471524031603952
its;man;row;1.2251252102577033
its;man;rus;1.0361341664962305
its;man;soa;1.0313736386759036
man;CGDS;afr;1.0024830152756683
man;CGDS;asia;1.3069033039514992
man;CGDS;cis;1.1725475525138143
man;CGDS;eur;1.4651431172348435
man;CGDS;noa;1.1356111571595755
man;CGDS;oce;1.0509620024263944
man;CGDS;row;1.037365132462013
man;CGDS;rus;1.202131127909339
man;CGDS;soa;1.0941843220647334
man;arg;afr;1.0666857262729637
man;arg;asia;1.2558783809481058
man;arg;cis;1.4232556349659398
man;arg;eur;1.6657254425219508
man;arg;noa;1.131168311955657
man;arg;oce;1.1228400665535951
man;arg;row;1.1447649427637836
man;arg;rus;1.0859298731146947
man;arg;soa;1.0829359596277566
man;eng;afr;1.0591988414867293
man;eng;asia;1.3834749854959103
man;eng;cis;1.2565296256816374
man;eng;eur;1.8324952662960916
man;eng;noa;1.2013308438929418
man;eng;oce;1.0869258317120718
man;eng;row;1.2244395266864185
man;eng;rus;1.0862363178346157
man;eng;soa;1.1258537460703488
man;its;afr;1.0314598717495478
man;its;asia;1.4174136398610595
man;its;cis;1.2572400782146256
man;its;eur;1.7283504473146971
man;its;noa;1.1546347802642816
man;its;oce;1.087706590914528
man;its;row;1.1486726387653283
man;its;rus;1.1153031774575608
man;its;soa;1.0803391865668066
man;man;afr;1.0318255590738727
man;man;asia;1.422459364798945
man;man;cis;1.2709576853862006
man;man;eur;1.9519659791395951
man;man;noa;1.2482496399829859
man;man;oce;1.0455915341614157
man;man;row;1.1649360979718952
man;man;rus;1.106253938599452
man;man;soa;1.1223972420615045
