VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;97337;51481;154183;6824;5350;130175;29949;25620;78886;
2 arg;2594;4616;116837;10676;2274;13093;15968;16054;1814;
3 its;21107;9761;845707;337814;18718;29782;283583;29731;39655;
4 man;90022;34948;3670352;861999;16370;83117;342172;54384;64896;
