VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;1892;1546;3637;2626;946;18226;168720;50460;80400;
2 arg;177;165;3840;6686;778;2477;43674;11364;355;
3 its;6242;4734;256029;144195;9727;14730;62206;12271;22388;
4 man;18306;3355;508557;1089314;15705;19023;1016123;74491;30150;
