VXMD;1 rus;2 cis;3 eur;4 asia;5 oce;6 afr;7 noa;8 soa;9 row;
1 eng;180;64,4;220;4045;876;1654;858;81,9;8523;
2 arg;1,24;8,39;280;791;970;131;571;243;36,1;
3 its;565;479;24435;15033;2532;1506;13260;1215;2126;
4 man;173;104;54146;147945;16087;1596;32948;2604;2550;
